ShopType	Criterio
Tradicional Gde SC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Gde|GDE|gde|GD|gd|Gd)(.*)SC"
Tradicional Gde SC	"(^TG |^TG.|^Tg |^Tg.)(.{0,4})(Gde|GDE|gde|GD|gd|Gd)(.*)SC"
Tradicional Gde CC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Gde|GDE|gde|GD|gd|Gd)(.*)CC"
Tradicional Gde CC	"(^TG |^TG.|^Tg |^Tg.)(.{0,4})(Gde|GDE|gde|GD|gd|Gd)(.*)CC"
Tradicional Med SC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Med|MED|med|MD|md|Md)(.*)SC"
Tradicional Med SC	"(^TM |^TM.|^Tm |^Tm.)(.{0,4})(Med|MED|med|MD|md|Md)(.*)SC"
Tradicional Med CC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Med|MED|med|MD|md|Md)(.*)CC"
Tradicional Med CC	"(^TM |^TM.|^Tm |^Tm.)(.{0,4})(Med|MED|med|MD|md|Md)(.*)CC"
Tradicional Peq SC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Peq|PEQ|peq|PQ|pq|Pq)(.*)SC"
Tradicional Peq SC	"(^TG |^TG.|^Tg |^Tg.)(.{0,4})(Peq|PEQ|peq|PQ|pq|Pq)(.*)SC"
Tradicional Peq CC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Peq|PEQ|peq|PQ|pq|Pq)(.*)CC"
Tradicional Peq CC	"(^TG |^TG.|^Tg |^Tg.)(.{0,4})(Peq|PEQ|peq|PQ|pq|Pq)(.*)CC"
Tradicional Med + Gde SC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Med(.{3,4})Gde|MED(.{3,4})GDE|med(.{3,4})gde)(.*)SC"
Tradicional Med + Gde CC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Med(.{3,4})Gde|MED(.{3,4})GDE|med(.{3,4})gde)(.*)CC"
Tradicional Peq + Med SC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Peq(.{3,4})Med|PEQ(.{3,4})MED|peq(.{3,4})med)(.*)SC"
Tradicional Peq + Med CC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Peq(.{3,4})Med|PEQ(.{3,4})MED|peq(.{3,4})med)(.*)CC"
Tradicional Peq + Med + Gde SC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Peq(.{3,4})Med(.{3,4})Gde|PEQ(.{3,4})MED(.{3,4})GDE|peq(.{3,4})med(.{3,4})gde)(.*)SC"
Tradicional Peq + Med + Gde CC	"(^Trad |^TRAD |^TRAD.|^Trad.|^TD|^Td|Tradicional|TRADICIONAL|tradicional)(.{0,4})(Peq(.{3,4})Med(.{3,4})Gde|PEQ(.{3,4})MED(.{3,4})GDE|peq(.{3,4})med(.{3,4})gde)(.*)CC"
